Time,Node,S,E,I,R
36,6,7863.0,0.0,0.0,141468.6
36,7,6843.0,0.0,0.0,121650.375
36,8,5495.0,0.0,0.0,89769.52
36,9,7706.0,0.0,0.0,127433.33
36,10,2907.0,0.0,0.0,56351.73
36,11,5256.0,0.0,0.0,98090.68
36,12,5882.0,0.0,0.0,111560.48
36,13,6622.0,0.0,0.0,123866.875
37,0,637.0,12.0,161.0,26307.475
37,1,789.0,0.0,0.0,32552.516
37,2,1373.0,0.0,0.0,37125.934
37,3,3005.0,0.0,0.0,54601.867
37,4,4132.0,0.0,0.0,77891.945
37,5,3276.0,0.0,0.0,50754.746
37,6,7863.0,0.0,0.0,141462.78
37,7,6843.0,0.0,0.0,121646.09
37,8,5495.0,0.0,0.0,89766.32
37,9,7706.0,0.0,0.0,127428.79
37,10,2907.0,0.0,0.0,56349.727
37,11,5256.0,0.0,0.0,98087.2
37,12,5882.0,0.0,0.0,111556.53
37,13,6622.0,0.0,0.0,123862.49
38,0,631.0,13.0,160.0,26311.273
38,1,789.0,0.0,0.0,32549.805
38,2,1373.0,0.0,0.0,37123.21
38,3,3005.0,0.0,0.0,54598.547
38,4,4132.0,0.0,0.0,77887.23
38,5,3276.0,0.0,0.0,50751.637
38,6,7863.0,0.0,0.0,141456.98
38,7,6843.0,0.0,0.0,121641.805
38,8,5495.0,0.0,0.0,89763.12
38,9,7706.0,0.0,0.0,127424.25
38,10,2907.0,0.0,0.0,56347.723
38,11,5256.0,0.0,0.0,98083.734
38,12,5882.0,0.0,0.0,111552.58
38,13,6622.0,0.0,0.0,123858.11
39,0,627.0,12.0,158.0,26316.074
39,1,789.0,0.0,0.0,32547.094
39,2,1373.0,0.0,0.0,37120.484
39,3,3005.0,0.0,0.0,54595.223
39,4,4132.0,0.0,0.0,77882.51
39,5,3276.0,0.0,0.0,50748.527
39,6,7863.0,0.0,0.0,141451.19
39,7,6843.0,0.0,0.0,121637.516
39,8,5495.0,0.0,0.0,89759.914
39,9,7706.0,0.0,0.0,127419.72
39,10,2907.0,0.0,0.0,56345.72
39,11,5256.0,0.0,0.0,98080.26
39,12,5882.0,0.0,0.0,111548.625
39,13,6622.0,0.0,0.0,123853.73
40,0,621.0,14.0,152.0,26323.875
40,1,789.0,0.0,0.0,32544.383
40,2,1373.0,0.0,0.0,37117.758
40,3,3005.0,0.0,0.0,54591.902
40,4,4132.0,0.0,0.0,77877.78
40,5,3276.0,0.0,0.0,50745.418
40,6,7863.0,0.0,0.0,141445.38
40,7,6843.0,0.0,0.0,121633.23
40,8,5495.0,0.0,0.0,89756.72
