"adm0_name","adm1_name","n_samples","r_effect_mean","r_effect_sd","r_effect_median","sia_effect_mean","sia_effect_sd","sia_effect_median","r_effect_q025","r_effect_q975","sia_effect_q025","sia_effect_q975","correlation"
"DEMOCRATIC REPUBLIC OF THE CONGO","TSHOPO",500,1.6156053190529098,0.3547839624067862,1.6082059495870544,0.4396394150004561,0.14254447030886375,0.4459816235462567,0.967128010956986,2.322277136093148,0.16490288192188562,0.7150348526970469,-0.586057013525801
"DEMOCRATIC REPUBLIC OF THE CONGO","TSHUAPA",500,1.0405358478067432,0.427166009799742,1.0372079047311864,-0.25097950459673,0.26848419864986894,-0.2505547903932332,0.1772011825708922,1.8435239713671225,-0.7492669999624509,0.2988478956153063,-0.17675944837069246
"DJIBOUTI","ALI-SABIEH",500,-1.0607336472812137,1.0060259100280315,-1.0448552597149305,0.3703323771357038,0.36087274559472593,0.36299284983337227,-2.957921721982184,0.9825101693038286,-0.26967175940095434,1.0440756844685328,-0.17512271163403284
"DJIBOUTI","ARTA",500,-1.0756864625048828,1.0169744247027757,-1.0916419457591302,0.30470850084984213,0.3914526014585131,0.30863733428007156,-3.115464785020367,0.9913859985074241,-0.4202415374553794,1.0324549610521674,-0.18298908200332123
"DJIBOUTI","DIKHIL",500,-1.0568575826470676,1.019624254325194,-1.0407499917066094,0.3259441418911868,0.36858885986188306,0.31877221648484055,-3.154135315580003,0.9466996998281432,-0.44943215297161554,1.0369967271025777,-0.20196456150667388
"DJIBOUTI","DJIBOUTI",500,-1.1036028750628681,1.0596561459110823,-1.0608113525559233,0.3446913130779389,0.4268857457666603,0.3405178685823055,-3.098148731385632,1.0218270756459005,-0.4759359155453141,1.2639373374972722,-0.09825596878676794
"DJIBOUTI","OBOCK",500,-1.025058644672667,1.1909992642794789,-0.9506619887486849,0.1953607782237059,0.5112321683433013,0.16931975697693383,-3.29438050098756,1.2633399273693815,-0.7878442711592848,1.219371853397377,-0.04965939262608041
"DJIBOUTI","TADJOURAH",500,-1.0375327495886861,1.0231014225315822,-1.0465246530143393,0.2589947883294861,0.38170700501148913,0.2662654305851345,-3.0297941078327546,0.9177632198026666,-0.4790671356783772,0.9965859666439072,-0.1208764276960369
"EGYPT","ALEXANDRIA",500,-1.7554429012116362,1.0937945542367562,-1.7788960289762201,-0.025695374757282355,0.5395160089607224,-0.014493923908472685,-3.6354913250856713,0.4715329626811369,-1.1055814601873086,1.0860988403038172,-0.05314284267307213
"EGYPT","ASSIUT",500,-1.4417162295458004,0.8655809830877862,-1.4278967264885265,-0.03849014257700091,0.42156528678255706,-0.029611518028329863,-3.0498915748869804,0.20464146998285337,-0.8363158679836162,0.7766379915667387,-0.018972736389274936
"EGYPT","ASWAN",500,-1.4264064995134371,0.8326234361427249,-1.440756385012043,-0.10040157215035546,0.34256977624671087,-0.09608799394329828,-2.9872867614402123,0.15961925761570256,-0.8145317499598015,0.5418372275069734,-0.08327636211587218
"EGYPT","BEHEIRA",500,-1.7349715033769788,0.8728043388302399,-1.7210589594281243,-0.040556651317244743,0.4321666771416706,-0.013971249526669331,-3.368071375532671,-0.12854570216578692,-0.8981848992880974,0.8003337036797125,-0.12164335858011278
