adm0_name,adm1_name,mean,lower,upper
IRAQ,DAHUK,0.9027429567340088,0.5772447663666066,1.411783862610704
MADAGASCAR,HAUTE-MATSIATRA,0.9996594758721096,0.5638960260676875,1.7721690196499962
KENYA,ISIOLO,0.9637036372150294,0.6953118200075085,1.3356952573759622
IRAN (ISLAMIC REPUBLIC OF),KORDESTAN,1.0360587444100946,0.6779199122812984,1.5833990157575073
IRAQ,KERBALA,1.0516016589908894,0.6679939663108464,1.6555030508730444
UNITED REPUBLIC OF TANZANIA,KASKAZINI UNGUJA,0.9999610577984335,0.5596394512465622,1.786725569268035
MADAGASCAR,AMORON'I MANIA,0.9991730120082106,0.6249665575213325,1.597440208457046
LIBYA,JABAL NAFOSA,0.8125568191870974,0.5675883175398418,1.1632525970041785
KENYA,GARISSA,0.9099944391921935,0.7013138226315014,1.1807693683457112
LEBANON,NABATIYE,0.9811663950793539,0.6215104816124969,1.548948124471434
KENYA,TANA RIVER,0.9839700639472041,0.6932482807483933,1.3966094307497623
RWANDA,EST,1.0741480800234295,0.7517341584245425,1.5348432486240913
CÔTE D’IVOIRE,ME,0.9546823865670762,0.6891571979435407,1.322511702614587
BENIN,ATACORA,0.9328828613437858,0.6761538208132221,1.2870894258088805
TURKMENISTAN,LEBAP,0.9792204949496804,0.7059986928402183,1.3581792536640138
IRAQ,KIRKUK,0.9698463350389105,0.6344246826694769,1.482606114299692
SOMALIA,SAHIL,0.9168110166865134,0.6103765951127815,1.377088255100031
MALAWI,NORTHERN,1.140516570940753,0.8055989918142996,1.6146718923529868
SYRIAN ARAB REPUBLIC,SWIEDA,1.0179119468363667,0.6378105800745367,1.6245336215512698
BURUNDI,KAYANZA,1.0186619749291317,0.7047054170647068,1.4724907656999615
KENYA,UASIN GISHU,1.0686217119659356,0.7239668290224376,1.5773545382279066
GUINEA,KANKAN,0.7602363602912696,0.6365806621010146,0.9079121593191032
BURKINA FASO,DEDOUGOU,1.0500076579651652,0.7695387683662409,1.4326972559500455
YEMEN,ALMAHAWEET,1.2301846192079893,0.8111096209855625,1.865782575106265
ALGERIA,GHARDAIA,0.783991010253774,0.5466679801725002,1.1243422451133573
AFGHANISTAN,SAR-E-PUL,0.9586318335258079,0.6897826194435944,1.3322675381272062
AFGHANISTAN,BADGHIS,0.7948244099158792,0.6230139705603928,1.0140155316740005
KENYA,HOMA BAY,1.084546594339707,0.7390985683176189,1.5914539220002701
