date,dot_name,age_min,age_max
2025-03-01,AFRO:NIGERIA:YOBE:FUNE,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:GEIDAM,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:GUJBA,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:GULANI,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:JAKUSKO,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:KARASUWA,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:MACHINA,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:NANGERE,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:NGURU,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:POTISKUM,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:TARMUA,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:YUNUSARI,0,1825
2025-03-01,AFRO:NIGERIA:YOBE:YUSUFARI,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:ALKALERI,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:BAUCHI,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:BOGORO,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:DAMBAN,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:DARAZO,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:DASS,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:GAMAWA,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:GANJUWA,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:GIADE,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:ITAS_GADAU,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:JAMAARE,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:KATAGUM,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:KIRFI,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:MISAU,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:NINGI,0,1825
2025-03-01,AFRO:NIGERIA:BAUCHI:SHIRA,0,1825
