Time,Node,S,E,I,R
40,3,28983.0,0.0,0.0,546763.9
40,4,41582.0,0.0,0.0,779399.9
40,5,29399.0,0.0,0.0,512136.94
40,6,72512.0,0.0,0.0,1420046.4
40,7,64880.0,0.0,0.0,1218868.8
40,8,48339.0,0.0,0.0,904560.7
40,9,70000.0,0.0,0.0,1282223.5
40,10,31106.0,0.0,0.0,560874.25
40,11,52883.0,0.0,0.0,979855.7
40,12,58968.0,0.0,0.0,1114960.2
40,13,65750.0,0.0,0.0,1236313.4
41,0,5486.0,65.0,986.0,264541.28
41,1,6625.0,0.0,0.0,326678.47
41,2,16610.0,0.0,0.0,383929.3
41,3,28983.0,0.0,0.0,546730.6
41,4,41582.0,0.0,0.0,779352.5
41,5,29399.0,0.0,0.0,512105.75
41,6,72512.0,0.0,0.0,1419988.2
41,7,64880.0,0.0,0.0,1218825.5
41,8,48339.0,0.0,0.0,904528.56
41,9,70000.0,0.0,0.0,1282178.0
41,10,31106.0,0.0,0.0,560854.3
41,11,52883.0,0.0,0.0,979820.94
41,12,58968.0,0.0,0.0,1114920.8
41,13,65750.0,0.0,0.0,1236269.5
42,0,5475.0,60.0,966.0,264564.22
42,1,6636.0,0.0,0.0,326651.25
42,2,16120.0,0.0,0.0,380305.03
42,3,29108.0,0.0,0.0,546697.3
42,4,41761.0,0.0,0.0,779303.25
42,5,29518.0,0.0,0.0,512074.56
42,6,73053.0,0.0,0.0,1419900.0
42,7,65398.0,0.0,0.0,1218755.5
42,8,48721.0,0.0,0.0,904479.5
42,9,70544.0,0.0,0.0,1282105.6
42,10,31345.0,0.0,0.0,560822.44
42,11,53299.0,0.0,0.0,979765.2
42,12,59442.0,0.0,0.0,1114860.2
42,13,66276.0,0.0,0.0,1236200.8
43,0,5448.0,57.0,954.0,264584.12
43,1,6636.0,0.0,0.0,326624.06
43,2,16120.0,0.0,0.0,380277.75
43,3,29108.0,0.0,0.0,546664.06
43,4,41761.0,0.0,0.0,779256.0
43,5,29518.0,0.0,0.0,512043.38
43,6,73053.0,0.0,0.0,1419841.9
43,7,65398.0,0.0,0.0,1218712.2
43,8,48721.0,0.0,0.0,904447.4
43,9,70544.0,0.0,0.0,1282060.1
43,10,31345.0,0.0,0.0,560802.5
43,11,53299.0,0.0,0.0,979730.44
43,12,59442.0,0.0,0.0,1114820.8
43,13,66276.0,0.0,0.0,1236156.9
44,0,5417.0,58.0,938.0,264608.06
44,1,6636.0,0.0,0.0,326596.88
44,2,16120.0,0.0,0.0,380250.47
44,3,29108.0,0.0,0.0,546630.8
44,4,41761.0,0.0,0.0,779208.7
44,5,29518.0,0.0,0.0,512012.2
